EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
200443616,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% ONDREJ STRUP,PRAHA CZ-181 00,CZECH REPUBLIC,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,CZECH REPUBLIC CHAPTER
200443628,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CINDY A DANDEWICH,MB R3PON5,CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,MANITOBA CHAPTER
200443637,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% KEIJO KAIVANTO MANAGING DIRECTOR,FIN-00100 HELSINKI,FINLAND,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,FINLAND CHAPTER
200443640,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% JOHN ZIEGLER,"REGINA,SK,54P3B8",CANADA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,REGINA CHAPTER
200443721,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% MARIANTONIETTA LISENA,20131 MILANO,ITALY,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,ITALIA CHAPTER
200443739,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% ERIC MORETTI,LUXEMBOURG,LUXEMBOURG,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,02,0,06,,,,,LUXEMBOURG CHAPTER
200443751,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% TOMASZ KWIATKOWSKI,02342 WARSZAWA,POLAND,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,201406,0,0,02,0,06,0,0,0,,POLSKA CHAPTER
200443763,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% HERMANDA GUTIERREZ,18 MADRID,SPAIN,,00000-0000,7100,06,9,1000,198904,2,00,149000000,5,01,,0,0,01,0,06,,,,,MADRID CHAPTER
200443770,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% MONIKA TROLLE,STOCKHOLM,SWEDEN,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,SVERIGE CHAPTER
200443786,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% CATHRINE PAULI,CH-8604 VOLKETSWIL-ZURICH,SWITZERLAND,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,02,0,06,,,,,SWITZERLAND CHAPTER
200443816,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% RONKE ADEJO,YABA,NIGERIA,,00000-0000,7100,06,9,1000,198904,0,00,000000000,5,01,,0,0,01,0,06,,,,,LAGOS CHAPTER
200443825,INTERNATIONAL FACILITY MANAGEMENT ASSOCIATION INC,% BERNICE CHENG,KWAN 0,HONG KONG,,00000-0000,7100,06,9,1000,198904,2,00,149000000,5,01,,0,0,01,0,06,,,,,HONG KONG CHAPTER
200602982,NIPISSING DISTRICT DEVELOPMENTAL SCREEN USA,% LINDA MCLAY,NORTH BAY ONTARIO P1B 8K6,CANADA,,00000-0000,0000,03,3,1000,201410,1,16,000000000,1,01,201503,0,0,02,0,03,0,0,0,P20,
200612879,MOBILE ENTERTAINMENT FORUM USA INC,% JOANNE LACEY,LONDON VICTORIA,UNITED KINGDOM,,00000-0000,0000,06,3,1000,200609,2,00,000000000,1,01,201503,0,0,02,0,03,0,0,0,S41,
200644142,STRATEGIC SOLUTIONS NETWORK INC,% SANA JOSEPH,1013 ESTATE WHIM,FREDERIKSTED,VI,00840-3752,0000,03,3,1000,201511,1,16,000000000,1,01,,1,3,02,0,12,,,,P20,
200835061,FRIENDS OF JOURNALISTS FOR HUMAN RIGHTS INC,% ALEXANDRA SICOTTE - LEVESQUE,TORONTO M5V 2L7,CANADA,,00000-0000,0000,03,3,1000,200411,1,15,000000000,1,01,201412,1,0,02,0,12,161,0,0,R63,
200838203,ECLIPSEORG FOUNDATION INC,% CHRIS LAROCQUE,OTTAWA ONTARIO,CANADA,,00000-0000,0000,06,3,1000,200602,0,00,000000000,0,01,201412,6,6,01,0,12,2267277,3763690,3763690,,ECLIPSE FOUDATION INC
201096061,KAMIEN FAMILY FOUNDATION,% ANITA KAMIEN,JERUSALEM,ISRAEL,,00000-0000,0000,03,3,1000,200603,1,04,000000000,1,01,201412,3,2,00,1,12,57771,19105,,B99,
201653634,SANABEL MICROFINANCE OF THE ARAB COUNTRIES INC,,NEW CAIRO 11853,EGYPT,,00000-0000,0000,03,3,1000,200601,2,15,000000000,1,01,201412,6,6,01,0,12,1026645,1010371,1010044,Q32,
201859322,SEEDTIME WATER FOUNDATION INC,,COLONIA EL CONTADERO MEXICO DF 0550,MEXICO,,00000-0000,0000,03,3,1000,200607,2,15,000000000,1,01,201312,1,1,02,0,12,6907,1022,1022,B129,
201865237,AMERICAN FRIENDS OF ALMA INC,% ROART INC,TEL AVIV,ISRAEL,,00000-0000,0000,03,3,2100,200509,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,,
201936637,AMERICAN RESEARCH CENTER IN SOFIA INC,% GEORGE K SIDJIMKOV,1407 SOFIA,BULGARIA,,00000-0000,0000,03,3,1200,200503,1,15,000000000,1,01,201412,6,6,01,0,12,1839050,1042101,1042101,A70,
202032957,OLD ROAD FUND INC,% R BRAXTON HILL III,ST JOHNS ANTIGUA W ST JOHNS ANTIGUA,ANTIGUA & BARBUDA,,00000-0000,0000,03,3,1200,200503,1,15,000000000,1,01,201412,3,4,01,0,12,77193,156382,156382,P20,
202318102,MESHI EARLY CHILDHOOD DEVELOPMENT CENTER,,JERUSALEM MIDDLE EAST 97253,ISRAEL,,00000-0000,0000,03,3,1000,200306,2,11,000000000,1,01,201412,6,7,01,0,12,2771799,6087729,6087729,B28,
202576850,AT HIS FEET MINISTRIES INCORPORATED,% RICK ESQUIVEL,BROADSTONE DORSET BH18 8EU GB,UNITED KINGDOM,,00000-0000,0000,03,3,7100,200610,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X30,
203074517,TRUSTAFRICA,% ADAMA N KOUYATE,PYROTECHNIE X VDN BP 45435 DAKAR-FA,SENEGAL,,00000-0000,0000,03,3,1000,200507,1,15,000000000,1,01,201503,8,8,01,0,03,14078723,10816547,10809071,Q30,
203193115,AMERICAN FRIENDS OF UHN INC,% FRANK J COPPING,LOCAL,CANADA,,00000-0000,0000,03,3,1000,200511,4,15,000000000,1,01,201503,1,6,01,0,03,7127,1240669,1240669,E112,
203288442,EMOR EL HA COHANIM,% BARUCH ADLER,JERUSALEM 91051,ISRAEL,,00000-0000,0000,03,3,2000,200609,4,11,000000000,1,01,201312,0,0,02,0,12,0,0,0,B20,
203317540,INTERNATIONAL SCHOOL PSYCHOLOGY ASSOCIATION INC,% DR ROBERT D CLARK,AMSTERDAM,NETHERLANDS,,00000-0000,0000,03,3,2100,200605,1,16,000000000,1,01,201412,4,3,02,0,12,162198,49897,49897,V23,
203519246,WORLD MEDICAL FUND USA,% RUTH HUTCHINSON CALKINS,SADDLEBOW NORFOLK PE34 3FN,UNITED KINGDOM,,00000-0000,0000,03,3,1200,200511,1,15,000000000,1,01,201412,1,1,02,0,12,2079,8443,8443,Q99,
203553514,THE TOSKAN CASALE FOUNDATION INC,% ERNST & YOUNG US LLP,TORONTO ONTAIRO M4N 3N1,CANADA,,00000-0000,0000,03,3,1000,200606,1,04,000000000,1,01,201506,3,0,00,1,06,93240,0,,T50,
203685807,INTERNATIONAL CONFEDERATION OF PLASTIC RECONSTRUCTIVE AESTHETIC,% MARITA EISENMANN-KLEIN,MUENCHEN 81679,GERMANY,,00000-0000,0000,03,3,2000,200704,1,15,000000000,1,01,201212,3,5,01,0,12,34199,685939,685939,B60,IPRAS
204233856,MOCKETT FAMILY FOUNDATION,% DOUG MOCKETT & INC,PO BOX 25194,CHRISTIANSTED,VI,00824-1194,0000,03,3,1000,200605,1,04,000000000,1,01,201412,1,0,00,1,12,872,0,,T20,
204416398,HADDEN FAMILY FOUNDATION,% KEVIN J WEBER,PORT ROWAN ON N0E 1M0,CANADA,,00000-0000,0000,03,3,1000,200610,4,04,000000000,1,01,201412,5,4,00,1,12,904108,105400,,T22,
204733601,AMERICAN FRIENDS OF THE ART GALLERY OF ONTARIO INC,% CASSANDRA LEMAY,TORONTO ON M5T 1G4,CANADA,,00000-0000,0000,03,3,1000,200612,4,15,000000000,1,01,201412,3,3,01,0,12,72082,95278,95278,A11,
204792577,INTERNATIONAL FEDERATION FOR PROFESSIONAL SPEAKERS INC,,"TORONTO,ONTARIOM3B 3N7",CANADA,,00000-0000,0000,06,3,2000,200706,2,00,000000000,1,01,201412,4,3,01,0,12,159543,69823,69823,S41,
204870511,CARIBBEAN ANTI-POVERTY RELIEFFOUNDATION,% PO BOX 12724,NASSAU,THE BAHAMAS,,00000-0000,0000,03,3,1000,200702,1,04,000000000,1,01,201312,1,1,00,1,12,669,1,,Q12,
205478637,BOBS AND CROW LAKES FOUNDATION,% ALEXANDER CAMERON,GODFREY ONTARIO K0H 1T0,CANADA,,00000-0000,0000,03,3,1000,200709,4,15,000000000,1,01,201506,0,0,02,0,06,0,0,0,C32,
205521081,INTERNATIONAL ASSOCIATION OF WOODANATOMISTS,% REGIS B MILLER,2300 RA LEIDEN,NETHERLANDS,,00000-0000,0000,03,3,2000,200807,2,16,000000000,5,01,201412,4,3,01,0,12,185686,66001,61947,B99,
205853356,POLAR EDUCATION FOUNDATION,% TAMMY FRIED PROSKAUER ROSE LLP,CHELSEA QUEBEC J9B 2G6,CANADA,,00000-0000,0000,03,3,1200,201407,2,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,C60,
206652035,RANDOLPH H KNIGHT CHARITABLE FOUNDATION,% MARK THAW,PO BOX 8209,ST THOMAS,VI,00801-1209,0000,03,3,1000,201002,1,04,000000000,2,01,201412,6,3,00,1,12,2402071,85856,,T22,
206975076,PRIOR FAMILY FOUNDATION,,PO BOX 12030,ST THOMAS,VI,00801-5030,0000,03,3,1000,200804,1,04,000000000,2,01,201412,7,4,00,1,12,8984568,432174,,T20,GERTRUDE J PRIOR TTEE
